chip,field_id
28852,756
28852,757
28852+51cb0,1372
28852+51cb0,1374
d987c,1986
d987c,1988
ca1d4,2689
ca1d4,2690
ca1d4,2691
ca1d4,2878
ca1d4,2880
ca1d4,3293
2ec18,7238
2ec18,7239
2ec18+342a6,7240
2ec18,7241
7575d,4181
7575d,4185
7575d,4186
7575d,4255
7575d+91b2b,4256
7575d+91b2b,4257
7575d,4258
7575d,5014
7575d,5015
7575d,5016
7575d,5017
b0723,3281
87d6d,1919
87d6d,1920
87d6d,1921
87d6d,1950
87d6d,2317
87d6d,2318
87d6d,2319
87d6d,2324
87d6d+15404,2563
87d6d,3085
87d6d,3086
87d6d,3367
87d6d,3369
87d6d,3370
87d6d,3371
87d6d,3372
372f8,4411
372f8,4412
372f8,4517
372f8,4518
372f8,4675
372f8,4676
372f8,5026
9968d,442
44c21,7161
44c21,7162
44c21,7249
bb902,440
bb902,441
bb902,539
bb902,727
bb902,728
bb902,730
bb902,879
bb902,880
bb902,1178
bb902,1179
bb902,1180
bb902,1181
bb902,1300
bb902,1301
5a45a,1940
5a45a,1942
215e8,5531
215e8,5533
215e8+18ac3,6185
215e8,6245
215e8,6246
215e8,6248
215e8,6249
8de4d+f449d,1892
83e51+638b4,3778
83e51+638b4,3779
09768,4630
09768,4631
09768,4632
591da,6213
591da,6214
591da,6215
591da,6216
a4023,7209
d4a9c,3278
d4a9c,3607
865ac,118
865ac,1107
865ac,1493
865ac,1615
865ac,1616
e6bb3,6834
e6bb3,6835
a37ab+e0ea2+9e468+70206,1730
a37ab,1732
a37ab,2664
a37ab,2667
a37ab,2668
a37ab,3211
a37ab,3212
a37ab,3213
a37ab,3214
29109+68b4c,2211
29109,2212
29109,3002
63cad,206
63cad,207
63cad,322
63cad,422
63cad,960
63cad,961
63cad,962
63cad,963
63cad,964
63cad+f9e47,965
535b8,32
535b8,56
535b8,132
535b8+1d374,538
535b8+1d374,788
535b8,1343
535b8,1653
535b8+1d374,1655
af25b,6473
af25b,6474
9ce1a,245
9ce1a,246
9ce1a,247
9ce1a,248
9ce1a,1047
9ce1a,1048
9ce1a,1117
9ce1a,1118
9ce1a,1255
9ce1a,1513
9ce1a,1539
3f8a4,4262
3f8a4,4263
3f8a4,4962
d754d,4009
d754d,4010
d754d,4012
d754d,4013
d754d,4014
5c339,2080
5c339,2082
5c339,2083
5c339,2160
5c339,2161
5c339,2162
5c339,3154
5c339,3155
5c339,3156
5c339,3157
0d6fc,3229
54eab,1870
54eab,1871
54eab,1872
54eab,3341
54eab,3342
54eab,3343
54eab,3344
c8c24+15a87,5467
c9a6e,178
c9a6e,216
c9a6e,324
c9a6e,325
c9a6e+ec148,432
c9a6e,859
c9a6e,860
c9a6e,861
c9a6e,1508
41401,6828
41401,6829
41401,6830
41401,6831
41401,6832
41401,6833
d3970,6630
29881,2130
29881,2131
29881,2228
29881,2229
a8770,4586
a8770,4587
a8770,4588
a8770,4591
abe87,5000
abe87,5002
abe87,5003
d6b27,437
d6b27,438
d6b27,439
d6b27,573
d6b27,574
d6b27,576
d6b27,1241
d6b27,1243
d6b27,1244
d6b27,1246
d6b27,1590
d6b27,1592
d6b27,1593
d6b27,1594
d6b27,1595
36e33,5413
36e33,5414
36e33,5415
c176b,4399
c176b,5024
c176b,5025
73908,6428
73908,6429
73908,7212
73908,7214
90551,224
90551,225
90551,227
90551,719
90551,720
1864e+b076a,5287
1864e,6149
1864e,6150
a0bfa,6335
a0bfa,6342
a0bfa+80c25,6344
a0bfa,6345
a0bfa,7198
a0bfa,7199
a0bfa,7200
a0bfa,7227
a0bfa,7228
2317b,6762
2317b,6763
2317b,7042
2317b,7044
38b06+2d821,4823
3f04f,6196
3f04f,6197
3f04f+5316d,6198
3f04f,6199
3f04f,6201
08448,5453
08448,5454
08448,5455
08448,5456
08448,5751
08448,6152
08448,6153
08448,6156
7a5bc+d93fc,578
7a5bc,1369
3406c,1951
3406c,1952
3406c,1953
3406c,2351
3406c,2352
3406c,2354
3406c,2355
3406c,2356
3406c,2624
3406c,2625
797fa,507
