chip,bbox
28852,"[82.29382899483097, 27.32713829135441, 82.3199738364133, 27.350486428575785]"
d987c,"[81.54278059765775, 27.193543671621423, 81.56874358185375, 27.21675760084688]"
ca1d4,"[81.5432292600233, 27.28598875637792, 81.56921416821767, 27.30920278376475]"
2ec18,"[87.71232081886878, 25.343603898226164, 87.73789950844225, 25.36684581133146]"
7575d,"[83.67644488209265, 19.104289532145508, 83.70113185193985, 19.127755540683445]"
b0723,"[81.5180068700899, 27.424757532780347, 81.54401960054082, 27.447966992973125]"
87d6d,"[81.33791164899155, 27.818228581021494, 81.3639815292993, 27.84140468217751]"
372f8,"[83.31625800762981, 19.4329110285348, 83.34095621042299, 19.456340100774607]"
9968d,"[82.21671879966182, 27.374063016562292, 82.24285984406698, 27.39739776726122]"
44c21,"[87.35678124619476, 25.553016310001286, 87.38233857068883, 25.576197998680545]"
bb902,"[82.08911643952854, 27.560013486098672, 82.11527746610838, 27.583326276339065]"
5a45a,"[81.41722227920368, 28.16463934551501, 81.44339333680014, 28.187829928723183]"
215e8,"[76.79452068245432, 24.548394465286243, 76.82011939162902, 24.57180695478678]"
8de4d,"[81.41553838851075, 27.72556124036363, 81.4416020906593, 27.748751807923338]"
83e51,"[83.90421839459685, 19.60926518000441, 83.92901883075977, 19.632765246472303]"
09768,"[83.51046745619769, 19.384066317014085, 83.53518139178063, 19.407517443174925]"
591da,"[76.49853389366845, 25.152659187658482, 76.52421302729317, 25.17602947843121]"
a4023,"[87.38219189086149, 25.529830250553996, 87.40774903529196, 25.553016310001286]"
d4a9c,"[81.36306249076232, 27.56394344940323, 81.38907657711019, 27.587124472248835]"
865ac,"[82.4511620146094, 27.487315093312798, 82.47737720191165, 27.510691762345065]"
e6bb3,"[87.43281847422759, 25.43721024818574, 87.4583652780185, 25.4604049939673]"
a37ab,"[81.51843930678994, 27.517199944861257, 81.54447419770231, 27.5404094843409]"
29109,"[81.56850913209895, 27.170325108839453, 81.59447183556793, 27.193543671621423]"
63cad,"[82.08820637467599, 27.467585020861314, 82.11434463586141, 27.49089732073544]"
535b8,"[82.42112437275071, 27.16412173752336, 82.44725446814856, 27.187491296632857]"
af25b,"[87.22922863576925, 25.48394028902492, 87.2547470390039, 25.507100153994347]"
9ce1a,"[82.63182018046702, 27.439068344341013, 82.65805888006678, 27.46247633228943]"
3f8a4,"[82.97424134648072, 19.367627936730386, 82.99888587570294, 19.391015596950254]"
