field_id,nbr_pixels
756,14
757,21
1372,59
1374,36
1986,14
1988,15
2689,10
2690,19
2691,22
2878,20
2880,26
3293,19
7238,15
7239,18
7240,15
7241,24
4181,13
4185,15
4186,30
4255,13
4256,11
4257,26
4258,24
5014,12
5015,22
5016,18
5017,41
3281,23
1919,11
1920,6
1921,3
1950,21
2317,28
2318,42
2319,40
2324,60
2563,87
3085,12
3086,18
3367,9
3369,18
3370,13
3371,14
3372,16
4411,11
4412,52
4517,52
4518,52
4675,38
4676,24
5026,14
442,24
7161,21
7162,11
7249,79
440,25
441,7
539,78
727,1
728,43
730,15
879,20
880,13
1178,12
1179,27
1180,38
1181,25
1300,13
1301,13
1940,34
1942,23
5531,173
5533,31
6185,66
6245,48
6246,12
6248,15
6249,44
1892,20
3778,8
3779,4
4630,19
4631,18
4632,31
6213,84
6214,120
6215,148
6216,114
7209,10
3278,47
3607,19
118,48
1107,15
1493,105
1615,22
1616,58
6834,24
6835,62
1730,34
1732,23
2664,24
2667,52
2668,44
3211,20
3212,22
3213,44
3214,20
2211,36
2212,55
3002,53
206,22
207,33
322,10
422,23
960,15
961,25
962,11
963,29
964,10
965,11
32,28
56,12
132,27
538,30
788,53
1343,26
1653,26
1655,35
6473,29
6474,21
245,19
246,29
247,35
248,41
1047,111
1048,153
1117,80
1118,67
1255,47
1513,85
1539,40
4262,5
4263,7
4962,6
4009,6
4010,9
4012,5
4013,7
4014,4
2080,36
2082,27
2083,18
2160,27
2161,36
2162,29
3154,2
3155,68
3156,44
3157,26
3229,62
1870,20
1871,16
1872,40
3341,14
3342,50
3343,30
3344,42
5467,82
178,8
216,35
324,19
325,12
432,37
859,19
860,19
861,25
1508,14
6828,12
6829,8
6830,14
6831,9
6832,6
6833,13
6630,51
2130,80
2131,30
2228,7
2229,25
4586,22
4587,17
4588,22
4591,16
5000,16
5002,13
5003,13
437,41
438,26
439,26
573,18
574,13
576,14
1241,105
1243,37
1244,16
1246,19
1590,34
1592,69
1593,42
1594,20
1595,40
5413,7
5414,32
5415,36
4399,50
5024,6
5025,13
6428,15
6429,6
7212,25
7214,29
224,46
225,69
227,26
719,98
720,42
5287,270
6149,47
6150,49
6335,13
6342,27
6344,20
6345,21
7198,32
7199,13
7200,15
7227,12
7228,12
6762,40
6763,75
7042,83
7044,31
4823,73
6196,34
6197,47
6198,66
6199,31
6201,54
5453,19
5454,15
5455,18
5456,19
5751,8
6152,4
6153,11
6156,32
578,59
1369,85
1951,3
1952,35
1953,15
2351,17
2352,28
2354,20
2355,26
2356,34
2624,9
2625,20
507,23
508,27
509,59
510,25
948,47
1103,21
1104,78
1236,30
1238,14
1239,68
1240,46
164,30
167,27
3205,32
3442,21
3444,49
3445,45
1990,59
2629,58
2630,26
1514,12
1515,52
3744,27
4146,29
4700,44
5177,29
5178,23
5260,32
5673,110
5674,197
5880,73
5882,122
6636,15
6637,11
6638,16
6852,20
6959,29
2693,39
3487,37
2707,11
2975,87
2976,22
2977,27
591,13
592,16
693,27
818,23
3813,14
3814,10
3815,9
3816,24
3818,13
4312,60
4314,4
4315,20
4316,15
4317,8
4455,17
4456,19
4804,15
6097,45
2772,44
2555,19
2557,16
2807,18
3606,36
4138,23
4140,15
4345,4
4347,5
4348,11
5199,14
5202,12
6784,19
7300,21
7302,59
5498,95
5499,90
5754,132
5755,96
10,19
511,27
1435,60
1436,25
1437,25
1715,25
1716,22
1718,45
1849,18
1850,32
2141,4
2149,16
2771,37
2778,10
2779,14
2822,15
3460,27
3461,8
3529,33
3530,11
3553,37
3566,24
899,21
45,52
46,22
107,52
110,23
6476,37
6604,22
6741,36
6743,29
6931,42
6977,74
6978,24
4147,2
4149,3
4225,8
4226,13
4227,9
6103,30
6104,34
656,77
657,41
661,75
1124,42
1125,38
1576,30
1577,33
1578,31
1579,38
2367,20
2793,36
5713,85
896,65
898,24
1247,9
1248,20
1477,5
1478,10
1479,5
1480,6
3619,11
6771,10
6779,64
6780,12
6781,40
6814,30
6815,30
6847,52
7136,35
7137,61
7139,55
6458,9
6459,17
6460,7
6461,11
6663,30
6666,30
7045,21
7047,18
2338,4
1859,12
1861,25
1862,24
2717,51
3255,19
2854,40
669,39
670,13
671,23
672,16
673,30
940,13
941,40
3962,11
3963,9
3964,15
3965,31
3966,18
88,80
89,55
694,45
1250,15
1346,56
1348,11
1349,23
6864,7
5231,9
5858,20
5859,29
5861,30
5862,21
5950,120
5953,87
5954,105
6233,24
5265,84
5266,100
5698,49
5993,47
5994,37
5996,48
5997,30
5998,43
6075,41
6079,73
6080,20
6257,104
6258,168
6263,111
2869,19
2870,10
540,78
646,35
695,32
1123,82
6088,196
5720,46
6019,35
2430,30
2519,51
5547,25
6121,264
6122,261
6528,5
6530,8
6531,18
6951,16
6952,35
7130,19
2984,15
2985,13
2988,14
3000,18
3031,7
3032,3
3033,16
3034,9
3035,16
3036,17
3126,8
3127,12
3128,20
3129,12
3158,27
3159,28
3162,10
3163,35
1725,10
1726,9
1806,13
1807,14
2309,23
2310,16
2750,30
2751,49
2824,10
3581,26
6818,22
6819,32
6957,24
7157,45
1282,17
1283,8
1284,13
1285,17
1554,11
1555,17
1556,16
1558,13
4771,33
4773,14
3731,5
3732,13
3733,13
3734,16
3735,25
3736,8
3994,21
4843,14
4844,14
7140,20
7141,16
6764,27
5475,49
5733,96
5734,124
5446,69
5465,48
5474,77
6147,45
3188,22
6364,35
6365,22
6405,22
6406,21
6413,29
6868,64
6870,22
410,34
411,38
6950,42
6890,130
5633,93
2662,18
2663,13
2916,18
2918,17
2919,28
2903,23
3052,19
3680,9
3681,12
3682,4
3683,12
3685,17
4514,35
4516,25
5166,7
5167,7
481,10
484,11
485,7
486,10
1426,1
1427,3
1428,9
1429,9
1430,6
1626,9
1627,7
1628,4
5912,23
5915,43
5916,63
5917,103
6171,47
6172,143
6173,173
1785,61
1787,34
1788,31
1790,35
2640,21
2806,19
2808,25
2813,15
2948,21
3114,12
3569,35
1573,89
1650,77
4119,14
4120,8
4944,2
4945,3
4946,6
4948,4
1947,27
2033,31
5424,97
5425,39
5426,59
5427,152
2435,10
2436,20
2437,45
2438,19
3395,21
5621,58
5624,575
6102,41
2077,31
2154,44
2155,25
2599,17
2848,22
2849,27
3419,38
1893,42
1894,29
2023,53
2024,30
2641,56
1933,21
2099,24
2342,17
2343,17
3300,13
3301,12
3302,18
3476,19
3503,42
3504,36
5635,27
5637,22
5918,15
5919,25
5920,27
1980,8
2095,48
2096,54
2098,23
2761,46
3204,46
3441,65
3531,16
3532,10
5377,104
5378,92
5379,54
5380,33
5381,47
5382,57
5911,18
6036,25
3130,31
3131,93
6123,77
2101,22
2102,43
2103,23
2104,16
2502,12
2503,28
2505,17
4894,9
4896,18
2094,36
2398,19
2400,37
2904,28
2906,47
2907,21
2908,14
2134,39
2586,32
2587,33
3621,20
2524,14
2525,24
2526,24
2527,22
2528,25
2529,35
1660,40
5383,95
6553,22
6554,9
6555,8
6556,28
6558,18
1831,17
1832,22
2173,9
2499,48
2500,29
3089,27
3916,6
3918,21
3919,13
3920,17
4777,6
4782,5
275,12
276,16
1634,38
1635,58
6521,21
6523,40
6547,21
6549,13
7004,17
2477,16
2478,18
2479,14
2480,11
2569,12
2570,17
2571,16
2572,16
2573,14
2574,15
2695,36
2699,46
2840,26
2955,4
2957,15
3016,11
3017,20
3019,35
3020,25
3108,21
3111,11
3112,21
3146,26
3148,26
3149,23
3150,13
7116,41
5320,33
5322,47
4506,7
4508,11
4509,15
4520,6
4522,9
4523,9
4903,12
4904,9
4906,22
5247,8
4410,29
4656,34
2247,228
2794,9
2795,10
5932,29
5934,76
5807,166
5809,66
3640,27
3641,7
3642,22
4789,9
4790,13
4791,6
15,20
16,50
17,33
773,24
774,24
778,50
3805,12
3806,8
3807,9
4729,44
5503,161
2871,41
2872,87
5347,236
5879,138
1778,17
2086,23
2088,5
3014,22
3015,31
3270,28
3271,19
3273,21
3274,51
5480,158
249,11
746,8
747,23
749,18
750,32
751,15
1130,8
1131,14
1363,14
1364,12
1365,13
1366,37
1367,18
1603,10
1605,20
1606,10
1948,65
5528,81
6168,82
5334,105
6004,48
6005,51
2064,26
2065,47
2066,41
2385,71
2386,18
2530,38
2531,19
2532,60
6488,23
5588,109
83,7
84,20
85,7
631,12
1937,23
1938,11
1939,15
2172,41
2773,92
2956,17
2958,23
3283,10
3284,14
3285,23
3594,28
2050,44
2051,63
2052,51
5323,36
5324,37
5325,32
5326,42
5607,34
5608,39
4745,19
4747,16
4869,22
4873,15
1166,74
2000,28
3552,4
33,23
34,30
35,82
6981,22
3505,75
2136,14
2137,24
2139,21
3519,26
3520,40
2595,15
1954,23
3458,90
6881,18
6882,19
6883,12
6885,19
444,3
445,33
446,15
447,11
474,12
476,9
830,28
831,18
833,23
834,36
1050,14
1052,19
1053,20
1114,54
1115,41
1116,66
1215,12
1216,22
1217,17
1218,21
1219,20
1668,18
1669,7
